36031,Black Breath,United States,Active,2006,Death/Thrash Metal/Crossover/Crust,Slaves Beyond Death,2015,0.78
36144,Cryptopsy,Canada,Active,1992,Brutal/Technical Death Metal| Deathcore (2008),And Then You'll Beg,2000,0.7
36144,Cryptopsy,Canada,Active,1992,Brutal/Technical Death Metal| Deathcore (2008),And Then You'll Beg,2000,0.39
36144,Cryptopsy,Canada,Active,1992,Brutal/Technical Death Metal| Deathcore (2008),And Then You'll Beg,2000,0.3
36144,Cryptopsy,Canada,Active,1992,Brutal/Technical Death Metal| Deathcore (2008),And Then You'll Beg,2000,0.9
36144,Cryptopsy,Canada,Active,1992,Brutal/Technical Death Metal| Deathcore (2008),And Then You'll Beg,2000,0.95
36144,Cryptopsy,Canada,Active,1992,Brutal/Technical Death Metal| Deathcore (2008),And Then You'll Beg,2000,0.22
36144,Cryptopsy,Canada,Active,1992,Brutal/Technical Death Metal| Deathcore (2008),And Then You'll Beg,2000,0.92
36144,Cryptopsy,Canada,Active,1992,Brutal/Technical Death Metal| Deathcore (2008),And Then You'll Beg,2000,0.7
36144,Cryptopsy,Canada,Active,1992,Brutal/Technical Death Metal| Deathcore (2008),And Then You'll Beg,2000,0.3
36144,Cryptopsy,Canada,Active,1992,Brutal/Technical Death Metal| Deathcore (2008),And Then You'll Beg,2000,0.2
36144,Cryptopsy,Canada,Active,1992,Brutal/Technical Death Metal| Deathcore (2008),And Then You'll Beg,2000,0.79
36144,Cryptopsy,Canada,Active,1992,Brutal/Technical Death Metal| Deathcore (2008),Once Was Not,2005,0.63
36144,Cryptopsy,Canada,Active,1992,Brutal/Technical Death Metal| Deathcore (2008),Once Was Not,2005,0.89
36144,Cryptopsy,Canada,Active,1992,Brutal/Technical Death Metal| Deathcore (2008),Once Was Not,2005,0.89
36144,Cryptopsy,Canada,Active,1992,Brutal/Technical Death Metal| Deathcore (2008),Once Was Not,2005,0.89
36144,Cryptopsy,Canada,Active,1992,Brutal/Technical Death Metal| Deathcore (2008),Once Was Not,2005,0.95
36144,Cryptopsy,Canada,Active,1992,Brutal/Technical Death Metal| Deathcore (2008),Once Was Not,2005,0.25
36144,Cryptopsy,Canada,Active,1992,Brutal/Technical Death Metal| Deathcore (2008),Once Was Not,2005,0.22
36144,Cryptopsy,Canada,Active,1992,Brutal/Technical Death Metal| Deathcore (2008),Once Was Not,2005,0.9
36144,Cryptopsy,Canada,Active,1992,Brutal/Technical Death Metal| Deathcore (2008),Once Was Not,2005,0.7
36144,Cryptopsy,Canada,Active,1992,Brutal/Technical Death Metal| Deathcore (2008),Once Was Not,2005,0.75
36144,Cryptopsy,Canada,Active,1992,Brutal/Technical Death Metal| Deathcore (2008),Once Was Not,2005,0.91
36144,Cryptopsy,Canada,Active,1992,Brutal/Technical Death Metal| Deathcore (2008),Once Was Not,2005,0.98
36144,Cryptopsy,Canada,Active,1992,Brutal/Technical Death Metal| Deathcore (2008),Once Was Not,2005,0.9
36144,Cryptopsy,Canada,Active,1992,Brutal/Technical Death Metal| Deathcore (2008),Once Was Not,2005,0.9
36144,Cryptopsy,Canada,Active,1992,Brutal/Technical Death Metal| Deathcore (2008),Once Was Not,2005,0.99
36144,Cryptopsy,Canada,Active,1992,Brutal/Technical Death Metal| Deathcore (2008),The Unspoken King,2008,1.0
36144,Cryptopsy,Canada,Active,1992,Brutal/Technical Death Metal| Deathcore (2008),The Unspoken King,2008,0.85
36144,Cryptopsy,Canada,Active,1992,Brutal/Technical Death Metal| Deathcore (2008),The Unspoken King,2008,0.83
36144,Cryptopsy,Canada,Active,1992,Brutal/Technical Death Metal| Deathcore (2008),The Unspoken King,2008,0.4
36144,Cryptopsy,Canada,Active,1992,Brutal/Technical Death Metal| Deathcore (2008),The Unspoken King,2008,0.25
36144,Cryptopsy,Canada,Active,1992,Brutal/Technical Death Metal| Deathcore (2008),The Unspoken King,2008,0.8
36144,Cryptopsy,Canada,Active,1992,Brutal/Technical Death Metal| Deathcore (2008),The Unspoken King,2008,0.7
36144,Cryptopsy,Canada,Active,1992,Brutal/Technical Death Metal| Deathcore (2008),The Unspoken King,2008,0.02
36144,Cryptopsy,Canada,Active,1992,Brutal/Technical Death Metal| Deathcore (2008),The Unspoken King,2008,0.33
36144,Cryptopsy,Canada,Active,1992,Brutal/Technical Death Metal| Deathcore (2008),The Unspoken King,2008,0.1
36144,Cryptopsy,Canada,Active,1992,Brutal/Technical Death Metal| Deathcore (2008),The Unspoken King,2008,0.22
36144,Cryptopsy,Canada,Active,1992,Brutal/Technical Death Metal| Deathcore (2008),The Unspoken King,2008,0.0
36144,Cryptopsy,Canada,Active,1992,Brutal/Technical Death Metal| Deathcore (2008),The Unspoken King,2008,0.38
36144,Cryptopsy,Canada,Active,1992,Brutal/Technical Death Metal| Deathcore (2008),The Unspoken King,2008,0.13
36144,Cryptopsy,Canada,Active,1992,Brutal/Technical Death Metal| Deathcore (2008),The Unspoken King,2008,0.02
36144,Cryptopsy,Canada,Active,1992,Brutal/Technical Death Metal| Deathcore (2008),The Unspoken King,2008,0.01
36144,Cryptopsy,Canada,Active,1992,Brutal/Technical Death Metal| Deathcore (2008),The Unspoken King,2008,0.05
36144,Cryptopsy,Canada,Active,1992,Brutal/Technical Death Metal| Deathcore (2008),The Unspoken King,2008,0.08
36144,Cryptopsy,Canada,Active,1992,Brutal/Technical Death Metal| Deathcore (2008),The Unspoken King,2008,0.05
36144,Cryptopsy,Canada,Active,1992,Brutal/Technical Death Metal| Deathcore (2008),Cryptopsy,2012,0.85
36144,Cryptopsy,Canada,Active,1992,Brutal/Technical Death Metal| Deathcore (2008),Cryptopsy,2012,0.69
36144,Cryptopsy,Canada,Active,1992,Brutal/Technical Death Metal| Deathcore (2008),Cryptopsy,2012,0.35
36144,Cryptopsy,Canada,Active,1992,Brutal/Technical Death Metal| Deathcore (2008),Cryptopsy,2012,0.71
36144,Cryptopsy,Canada,Active,1992,Brutal/Technical Death Metal| Deathcore (2008),Cryptopsy,2012,0.7
36144,Cryptopsy,Canada,Active,1992,Brutal/Technical Death Metal| Deathcore (2008),Cryptopsy,2012,0.6
36144,Cryptopsy,Canada,Active,1992,Brutal/Technical Death Metal| Deathcore (2008),Cryptopsy,2012,0.8
36144,Cryptopsy,Canada,Active,1992,Brutal/Technical Death Metal| Deathcore (2008),Cryptopsy,2012,0.8
36144,Cryptopsy,Canada,Active,1992,Brutal/Technical Death Metal| Deathcore (2008),Cryptopsy,2012,0.95
36144,Cryptopsy,Canada,Active,1992,Brutal/Technical Death Metal| Deathcore (2008),Cryptopsy,2012,0.8
36144,Cryptopsy,Canada,Active,1992,Brutal/Technical Death Metal| Deathcore (2008),Cryptopsy,2012,0.8
36144,Cryptopsy,Canada,Active,1992,Brutal/Technical Death Metal| Deathcore (2008),Cryptopsy,2012,0.75
36144,Cryptopsy,Canada,Active,1992,Brutal/Technical Death Metal| Deathcore (2008),Cryptopsy,2012,0.9
36144,Cryptopsy,Canada,Active,1992,Brutal/Technical Death Metal| Deathcore (2008),Cryptopsy,2012,0.85
36144,Cryptopsy,Canada,Active,1992,Brutal/Technical Death Metal| Deathcore (2008),Cryptopsy,2012,0.7
36144,Cryptopsy,Canada,Active,1992,Brutal/Technical Death Metal| Deathcore (2008),Cryptopsy,2012,0.73
36192,Dephosphorus,Greece,Active,2008,Death/Black Metal/Grindcore,Night Sky Transform,2012,0.95
36192,Dephosphorus,Greece,Active,2008,Death/Black Metal/Grindcore,Ravenous Solemnity,2014,0.96
36214,Disgrace,Finland,Split-up,1987,Death Metal (early)| Punk Rock (later),Grey Misery,1992,0.78
36214,Disgrace,Finland,Split-up,1987,Death Metal (early)| Punk Rock (later),Vol. 2,2011,0.85
36215,Diskreet,United States,Active,1999,Deathcore (early)| Technical Death Metal (later),Engage the Mechanicality,2010,0.9
36225,Distorted,Israel,On hold,1996,Gothic/Melodic Death Metal with Middle Eastern influences,Memorial,2006,0.8
36225,Distorted,Israel,On hold,1996,Gothic/Melodic Death Metal with Middle Eastern influences,Voices from Within,2008,0.96
36229,Divine Insanity,United States,Active,2001,Symphonic/Melodic Black/Death/Power Metal,The Howling Man,2011,0.78
36252,Dååth,United States,On hold,2003,Industrial/Melodic Death/Groove Metal,Futility,2004,1.0
36252,Dååth,United States,On hold,2003,Industrial/Melodic Death/Groove Metal,The Hinderers,2007,0.9
36252,Dååth,United States,On hold,2003,Industrial/Melodic Death/Groove Metal,The Hinderers,2007,0.1
36252,Dååth,United States,On hold,2003,Industrial/Melodic Death/Groove Metal,The Hinderers,2007,0.0
36252,Dååth,United States,On hold,2003,Industrial/Melodic Death/Groove Metal,The Hinderers,2007,0.75
36252,Dååth,United States,On hold,2003,Industrial/Melodic Death/Groove Metal,The Hinderers,2007,0.9
36252,Dååth,United States,On hold,2003,Industrial/Melodic Death/Groove Metal,The Hinderers,2007,0.1
36252,Dååth,United States,On hold,2003,Industrial/Melodic Death/Groove Metal,The Concealers,2009,0.3
36252,Dååth,United States,On hold,2003,Industrial/Melodic Death/Groove Metal,Dååth,2010,0.7
36254,Eat the Turnbuckle,United States,Active,2011,Death/Thrash Metal/Hardcore,Card Subject to Carnage,2014,0.95
36256,Eccentric Pendulum,India,Active,2008,Thrash/Death Metal/Metalcore,Winding the Optics,2011,0.92
36256,Eccentric Pendulum,India,Active,2008,Thrash/Death Metal/Metalcore,Winding the Optics,2011,0.9
36262,Elitist,United States,Changed name,2008,Sludge/Death Metal/Grindcore/Crust,Fear in a Handful of Dust,2011,0.72
36262,Elitist,United States,Changed name,2008,Sludge/Death Metal/Grindcore/Crust,Fear in a Handful of Dust,2011,0.92
36273,Enemy of the Sun,Germany,Active,2006,Progressive Thrash Metal with Death/Black influences,Shadows,2007,0.09
36273,Enemy of the Sun,Germany,Active,2006,Progressive Thrash Metal with Death/Black influences,Shadows,2007,0.87
36273,Enemy of the Sun,Germany,Active,2006,Progressive Thrash Metal with Death/Black influences,Shadows,2007,0.0
36273,Enemy of the Sun,Germany,Active,2006,Progressive Thrash Metal with Death/Black influences,Caedium,2010,0.0
36273,Enemy of the Sun,Germany,Active,2006,Progressive Thrash Metal with Death/Black influences,Caedium,2010,0.11
36273,Enemy of the Sun,Germany,Active,2006,Progressive Thrash Metal with Death/Black influences,Caedium,2010,0.35
36303,Filthy Christians,Sweden,Split-up,1985,Death/Thrash Metal/Grindcore,Mean,1990,0.79
36317,Forgotten Silence,Czech Republic,Active,1993,Experimental Progressive Death Metal/Folk/Jazz,Kro Ni Ka,2006,0.89
36325,Freaklabel,United States,Active,2003,Death/Thrash Metal/Metalcore,Monolith,2007,0.75
36327,Frightmare,United States,Split-up,2002,Death/Thrash Metal/Grindcore,Midnight Murder Mania,2003,0.77
36327,Frightmare,United States,Split-up,2002,Death/Thrash Metal/Grindcore,Midnight Murder Mania,2003,0.7
36327,Frightmare,United States,Split-up,2002,Death/Thrash Metal/Grindcore,Midnight Murder Mania,2003,0.95
36327,Frightmare,United States,Split-up,2002,Death/Thrash Metal/Grindcore,Midnight Murder Mania,2003,0.9
36327,Frightmare,United States,Split-up,2002,Death/Thrash Metal/Grindcore,Midnight Murder Mania,2003,0.7
36327,Frightmare,United States,Split-up,2002,Death/Thrash Metal/Grindcore,Bringing Back the Bloodshed,2006,0.93
36327,Frightmare,United States,Split-up,2002,Death/Thrash Metal/Grindcore,Bringing Back the Bloodshed,2006,0.94
36327,Frightmare,United States,Split-up,2002,Death/Thrash Metal/Grindcore,Bringing Back the Bloodshed,2006,0.95
36334,Funerot,United States,Split-up,2003,Death/Thrash Metal/Crossover,Invasion from the Death Dimension,2006,0.85
36334,Funerot,United States,Split-up,2003,Death/Thrash Metal/Crossover,Invasion from the Death Dimension,2006,0.89
36349,Ghoul,United States,Active,2001,Death/Thrash Metal/Grindcore,We Came for the Dead!!!,2002,0.95
36349,Ghoul,United States,Active,2001,Death/Thrash Metal/Grindcore,We Came for the Dead!!!,2002,0.83
36349,Ghoul,United States,Active,2001,Death/Thrash Metal/Grindcore,We Came for the Dead!!!,2002,0.9
36349,Ghoul,United States,Active,2001,Death/Thrash Metal/Grindcore,We Came for the Dead!!!,2002,0.85
36349,Ghoul,United States,Active,2001,Death/Thrash Metal/Grindcore,We Came for the Dead!!!,2002,1.0
36349,Ghoul,United States,Active,2001,Death/Thrash Metal/Grindcore,We Came for the Dead!!!,2002,1.0
36349,Ghoul,United States,Active,2001,Death/Thrash Metal/Grindcore,We Came for the Dead!!!,2002,1.0
36349,Ghoul,United States,Active,2001,Death/Thrash Metal/Grindcore,Maniaxe,2003,0.85
36349,Ghoul,United States,Active,2001,Death/Thrash Metal/Grindcore,Maniaxe,2003,0.88
36349,Ghoul,United States,Active,2001,Death/Thrash Metal/Grindcore,Maniaxe,2003,0.69
36349,Ghoul,United States,Active,2001,Death/Thrash Metal/Grindcore,Maniaxe,2003,0.96
36349,Ghoul,United States,Active,2001,Death/Thrash Metal/Grindcore,Maniaxe,2003,0.74
36349,Ghoul,United States,Active,2001,Death/Thrash Metal/Grindcore,Maniaxe,2003,0.9
36349,Ghoul,United States,Active,2001,Death/Thrash Metal/Grindcore,Maniaxe,2003,0.94
36349,Ghoul,United States,Active,2001,Death/Thrash Metal/Grindcore,Splatterthrash,2006,0.9
36349,Ghoul,United States,Active,2001,Death/Thrash Metal/Grindcore,Splatterthrash,2006,0.71
36349,Ghoul,United States,Active,2001,Death/Thrash Metal/Grindcore,Splatterthrash,2006,0.96
36349,Ghoul,United States,Active,2001,Death/Thrash Metal/Grindcore,Splatterthrash,2006,0.9
36349,Ghoul,United States,Active,2001,Death/Thrash Metal/Grindcore,Splatterthrash,2006,0.91
36349,Ghoul,United States,Active,2001,Death/Thrash Metal/Grindcore,Splatterthrash,2006,0.98
36349,Ghoul,United States,Active,2001,Death/Thrash Metal/Grindcore,Transmission Zero,2011,0.6
36349,Ghoul,United States,Active,2001,Death/Thrash Metal/Grindcore,Transmission Zero,2011,0.7
36362,Gods of Eden,Australia,Active,2011,Progressive Death Metal (early)| Progressive Metalcore (later),From the End of Heaven,2015,0.82
36372,Grindmaster Dead,Latvia,Changed name,1991,Death/Doom Metal with folk elements,Stronger Than Love,1994,0.86
36390,Hated by Humanity,Australia,Unknown,2002,Black/Death Metal/Grindcore,Humans Hate Us,2002,0.9
36396,Hatred Surge,United States,Split-up,2004,Grindcore/Powerviolence/Death Metal/Noise,Deconstruct,2009,0.74
36397,Heaven Ablaze,United States,Split-up,2001,Brutal Death Metal with Black/Thrash Influences,Sanctimonious Pestilence,2004,0.6
36409,Himsa,United States,Split-up,1998,Metalcore (early)| Melodic Death Metal (later),Courting Tragedy and Disaster,2003,0.75
36409,Himsa,United States,Split-up,1998,Metalcore (early)| Melodic Death Metal (later),Hail Horror,2006,0.65
36409,Himsa,United States,Split-up,1998,Metalcore (early)| Melodic Death Metal (later),Summon in Thunder,2007,0.35
36413,Horde of Worms,Canada,Split-up,1996,Black/Death Metal/Grindcore,The Uncreation,2003,0.89
36416,Hot Graves,United States,Active,2008,Death/Black/Thrash Metal/Crust,Knights in White Phosphorus,2011,0.88
36426,I'll Eat Your Face,Ireland,Active,2006,Progressive Death/Thrash Metal/Grindcore,Irritant,2010,1.0
36426,I'll Eat Your Face,Ireland,Active,2006,Progressive Death/Thrash Metal/Grindcore,Hot Brains Terror,2011,0.95
36427,Ictus,Spain,Split-up,2004,Melodic Death/Sludge Metal/Crust Punk,Imperivm,2007,0.88
36430,Ilsa,United States,Active,2008,Death/Doom Metal/Crust,Tutti il colori del buio,2010,0.65
36430,Ilsa,United States,Active,2008,Death/Doom Metal/Crust,Intoxicantations,2012,0.82
36443,Infected Malignity,Japan,Active,2004,Brutal Death Metal (early)| Melodic Deathcore (later),The Malignity Born from Despair,2006,0.85
36443,Infected Malignity,Japan,Active,2004,Brutal Death Metal (early)| Melodic Deathcore (later),The Malignity Born from Despair,2006,0.87
36459,Inure,United States,Active,1999,Death/Thrash Metal/Grindcore,Inure,2004,0.94
36479,Karybdis,United Kingdom,Active,2008,Melodic Death/Thrash Metal/Hardcore,Samsara,2016,0.77
36498,Krang,United States,Active,2009,Thrash/Death Metal/Crust,Sounds of Death,2011,0.85
36500,Kruger,Switzerland,Split-up,2001,Sludge Metal/Death 'n' Roll,Redemption Through Looseness,2007,0.78
36500,Kruger,Switzerland,Split-up,2001,Sludge Metal/Death 'n' Roll,For Death| Glory and the End of the World,2010,0.82
36500,Kruger,Switzerland,Split-up,2001,Sludge Metal/Death 'n' Roll,Adam and Steve,2014,0.65
36500,Kruger,Switzerland,Split-up,2001,Sludge Metal/Death 'n' Roll,Adam and Steve,2014,0.74
36523,Lions of Tsavo,United States,Active,2003,Thrash/Death Metal/Metalcore,Traverser,2013,0.66
36524,Liquid Graveyard,International,Active,2006,Avant-garde Death/Progressive Metal,On Evil Days,2009,0.75
36524,Liquid Graveyard,International,Active,2006,Avant-garde Death/Progressive Metal,The Fifth Time I Died,2011,0.65
36525,Lithotome,United States,Active,2011,Death/Doom Metal/Noise,Lithotome,2013,0.7
36526,Living Sacrifice,United States,Active,1989,Thrash/Death Metal (early)| Metalcore (later),Living Sacrifice,1991,0.9
36526,Living Sacrifice,United States,Active,1989,Thrash/Death Metal (early)| Metalcore (later),Living Sacrifice,1991,0.9
36526,Living Sacrifice,United States,Active,1989,Thrash/Death Metal (early)| Metalcore (later),Living Sacrifice,1991,0.87
36526,Living Sacrifice,United States,Active,1989,Thrash/Death Metal (early)| Metalcore (later),Nonexistent,1992,0.89
36526,Living Sacrifice,United States,Active,1989,Thrash/Death Metal (early)| Metalcore (later),Nonexistent,1992,0.65
